SL. NO.,Category,SUB-CATEGORY,ITEMS,UOM,CATG.,SUB CATG.,,ITEM,Product Code,Actual Product Code
1,Stationaries,Bags ,Laptop Sleeves - Small ,NO,S,BG,-,SLEEVXM,SBG-SLEEVXM,CTW-MFCWHT
2,Stationaries,Bags ,Laptop Sleeves - Big,NO,S,BG,-,SLEEVXL,SBG-SLEEVXL,CTW-MFCWHT
3,Stationaries,Battery,AA Battery - Duracel,NO,S,BY,-,DBTRYAA,SBY-DBTRYAA,CTW-MFCWHT
4,Stationaries,Battery,AAA Battery - Duracel,NO,S,BY,-,DBTRYAAA,SBY-DBTRYAAA,CTW-MFCWHT
5,Stationaries,Battery,9V Battery - Duracel,NO,S,BY,-,DBTRY9V,SBY-DBTRY9V,CTW-MFCWHT
6,Stationaries,Cartridges & Toners,Canon Ink - GI790,NO,S,CT,-,CIGI790,SCT-CIGI790,CTW-MFCWHT
7,Stationaries,Cartridges & Toners,Canon Toner - HV 328 (Black),NO,S,CT,-,TR328B,SCT-TR328B,CTW-MFCWHT
8,Stationaries,Clips & Pins,Binder Clip - 12mm,NO,S,CP,-,BDR12M,SCP-BDR12M,CTW-MFCWHT
9,Stationaries,Clips & Pins,Binder Clip - 19mm,NO,S,CP,-,BDR19M,SCP-BDR19M,CTW-MFCWHT
10,Stationaries,Clips & Pins,Binder Clip - 25mm,NO,S,CP,-,BDR25M,SCP-BDR25M,CTW-MFCWHT
11,Stationaries,Clips & Pins,Binder Clip - 32mm,NO,S,CP,-,BDR32M,SCP-BDR32M,CTW-MFCWHT
12,Stationaries,Clips & Pins,Gem Clips,NO,S,CP,-,GEMCLP,SCP-GEMCLP,CTW-MFCWHT
13,Stationaries,Clips & Pins,Soft Board Pins,NO,S,CP,-,BRDPIN,SCP-BRDPIN,CTW-MFCWHT
14,Stationaries,Envelopes,A4 Envelopes with Adhesive,NO,S,EN,-,A4ENVAD,SEN-A4ENVAD,CTW-MFCWHT
15,Stationaries,Envelopes,A4 Envelopes with (Logo),NO,S,EN,-,A4ENVLO,SEN-A4ENVLO,CTW-MFCWHT
16,Stationaries,Envelopes,A4 Envelopes (Green),NO,S,EN,-,A4ENVGN,SEN-A4ENVGN,CTW-MFCWHT
17,Stationaries,Envelopes,Postal Envelopes (Green),NO,S,EN,-,PSENVGN,SEN-PSENVGN,CTW-MFCWHT
18,Stationaries,Envelopes,Postal Envelopes (Logo),NO,S,EN,-,PSENVLO,SEN-PSENVLO,CTW-MFCWHT
19,Stationaries,Files & Folders,Sheet Protector,NO,S,FF,-,SHTPTR,SFF-SHTPTR,CTW-MFCWHT
20,Stationaries,Files & Folders,L Folder - Transparent,NO,S,FF,-,LFOLDR,SFF-LFOLDR,CTW-MFCWHT
21,Stationaries,Files & Folders,Plastic Spring File,NO,S,FF,-,SPNGFL,SFF-SPNGFL,CTW-MFCWHT
22,Stationaries,Files & Folders,File Folder with Sheet Protector,NO,S,FF,-,FLFOLD,SFF-FLFOLD,CTW-MFCWHT
23,Stationaries,Files & Folders,Box File,NO,S,FF,-,BOXFL,SFF-BOXFL,CTW-MFCWHT
24,Stationaries,Files & Folders,Onboarding Files,NO,S,FF,-,ONBFL,SFF-ONBFL,CTW-MFCWHT
25,Stationaries,Miscellaneous,Screen Wips,NO,S,MS,-,SCNWP,SMS-SCNWP,CTW-MFCWHT
