SL. NO.,Product Code,Category,SUB-CATEGORY,ITEMS,UOM, COST/UNIT ,Opening Balance,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Stock Receipt,Stock Receipt,Consumption,Closing Balance, Total Cost 
1,PBV-SLMLK,Pantry,Beverages,Good Life Milk (Slim) 1 LTR,LR, 47.58 ,23,,13,6,,,12,12,8,13,9,5,,9,9,6,13,10,,,12,8,13,9,5,,,9,9,11,13,10,,210,224,9," 10,658.67 "
2,PBV-RGMLK,Pantry,Beverages,Good Life Milk (Regular) 1 LTR,LR, 50.00 ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0, -   
3,PBV-LCMLK,Pantry,Beverages,Lactose Free - 200 ML,ML, 25.00 ,3,,,1,,,,2,2,,,1,,,,1,,,,,2,2,,,1,,,,,,,,,10,12,1, 300.00 
4,PBV-WB20L,Pantry,Beverages,Water Bottle - 20 LTR,ML, 38.00 ,24,,11,6,,,11,6,8,10,7,9,,10,8,9,9,8,,,7,8,10,7,11,,,11,8,9,10,12,,200,205,19," 7,790.00 "
5,PBV-WB500,Pantry,Beverages,Water Bottle - 500 ML,ML, 10.00 ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0, -   
6,PBV-WB250,Pantry,Beverages,Water Bottle - 250 ML,ML, 7.00 ,3,,3,,,,5,,,3,,,,,3,,,,,,,,3,,,,,,3,,,,,20,20,3, 140.00 
7,PBV-COKE,Pantry,Beverages,Coco Cola - 2 LTR,LR, 70.56 ,3,,1,,,,1,,1,1,1,,,1,1,,1,1,,,,1,1,1,,,,1,1,1,1,1,,15,17,1," 1,199.44 "
8,PBV-FANTA,Pantry,Beverages,Fanta - 2 LTR,LR, 70.31 ,0,,1,1,,,1,,1,1,1,,,1,1,1,1,1,,,,1,1,1,,,,1,1,1,1,1,,20,19,1," 1,335.91 "
9,PBV-PBGVA,Pantry,Beverages,Paper Boat - Guava - 1 LTR,LR, 85.33 ,2,,1,1,,,1,,,1,1,,,1,1,1,1,1,,,,,1,1,,,,1,1,1,1,1,,15,17,0," 1,450.67 "
10,PBV-PBAMR,Pantry,Beverages,Paper Boat - Aamras 1 LTR,LR, 85.33 ,3,,1,,,,1,1,1,1,1,1,,1,1,,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,20,21,2," 1,792.00 "
11,PBV-RLGVA,Pantry,Beverages,Real - Guava 1 LTR,LR, 85.33 ,3,,,1,,,,2,1,,,,,,,1,,,,,2,1,,,,,,,,,,,,10,8,5, 682.67 
